"REF_DATE","GEO","DGUID","Gender","Sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, persons with and without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750420","1.2.44.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons with a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750426","1.2.45.1.1","35.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons with a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750432","1.2.45.2.1","33.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons with a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750438","1.2.45.3.1","30.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750444","1.2.46.1.1","62.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750450","1.2.46.2.1","29.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Persons without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750456","1.2.46.3.1","8.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, LGBTQ2+ and non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750462","1.2.47.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, LGBTQ2+ and non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750468","1.2.47.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, LGBTQ2+ and non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750474","1.2.47.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750480","1.2.48.1.1","22.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750486","1.2.48.2.1","27.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750492","1.2.48.3.1","49.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750498","1.2.49.1.1","52.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750504","1.2.49.2.1","31.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750510","1.2.49.3.1","16.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, highest certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750516","1.2.50.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, highest certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750522","1.2.50.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, highest certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750528","1.2.50.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","No certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750534","1.2.51.1.1","46.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","No certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750540","1.2.51.2.1","34.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","No certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750546","1.2.51.3.1","18.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Secondary (high) school diploma or equivalency certificate","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750552","1.2.52.1.1","45.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Secondary (high) school diploma or equivalency certificate","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750558","1.2.52.2.1","32.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Secondary (high) school diploma or equivalency certificate","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750564","1.2.52.3.1","22.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Postsecondary certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750570","1.2.53.1.1","54.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Postsecondary certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750576","1.2.53.2.1","30.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Postsecondary certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750582","1.2.53.3.1","16.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by main activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750714","1.2.61.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by main activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750720","1.2.61.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by main activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750726","1.2.61.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Working at a paid job or business","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750732","1.2.62.1.1","51.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Working at a paid job or business","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750738","1.2.62.2.1","31.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Working at a paid job or business","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750744","1.2.62.3.1","17.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Retired","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750750","1.2.63.1.1","55.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Retired","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750756","1.2.63.2.1","33.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Retired","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750762","1.2.63.3.1","10.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Other activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750768","1.2.64.1.1","45.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Other activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750774","1.2.64.2.1","28.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Other activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750780","1.2.64.3.1","26.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, urban and rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749634","1.2.1.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, urban and rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749640","1.2.1.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, urban and rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749646","1.2.1.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Urban areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749652","1.2.2.1.1","50.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Urban areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749658","1.2.2.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Urban areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749664","1.2.2.3.1","18.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749670","1.2.3.1.1","53.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749676","1.2.3.2.1","31.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749682","1.2.3.3.1","15.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, 15 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750840","1.3.4.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, 15 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750846","1.3.4.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, 15 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750852","1.3.4.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","15 to 24 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750858","1.3.5.1.1","29.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","15 to 24 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750864","1.3.5.2.1","35.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","15 to 24 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750870","1.3.5.3.1","35.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","25 to 54 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750876","1.3.6.1.1","38.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","25 to 54 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750882","1.3.6.2.1","37.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","25 to 54 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750888","1.3.6.3.1","23.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","55 to 64 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750948","1.3.10.1.1","49.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","55 to 64 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750954","1.3.10.2.1","34.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","55 to 64 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750960","1.3.10.3.1","16.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","65 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750966","1.3.11.1.1","59.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","65 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750972","1.3.11.2.1","29.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","65 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750978","1.3.11.3.1","11.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by immigrant status","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751020","1.3.14.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by immigrant status","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751026","1.3.14.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by immigrant status","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751032","1.3.14.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751038","1.3.15.1.1","44.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751044","1.3.15.2.1","34.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751050","1.3.15.3.1","21.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751056","1.3.16.1.1","43.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751062","1.3.16.2.1","36.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751068","1.3.16.3.1","20.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-permanent residents","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751128","1.3.20.1.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-permanent residents","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751134","1.3.20.2.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-permanent residents","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751140","1.3.20.3.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by visible minority group","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751146","1.3.21.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by visible minority group","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751152","1.3.21.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by visible minority group","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751158","1.3.21.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Visible minority population","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751164","1.3.22.1.1","37.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Visible minority population","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751170","1.3.22.2.1","37.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Visible minority population","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751176","1.3.22.3.1","25.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Not a visible minority","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751398","1.3.35.1.1","46.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Not a visible minority","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751404","1.3.35.2.1","34.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Not a visible minority","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751410","1.3.35.3.1","19.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751416","1.3.36.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751422","1.3.36.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751428","1.3.36.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751434","1.3.37.1.1","38.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751440","1.3.37.2.1","38.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751446","1.3.37.3.1","23.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751542","1.3.43.1.1","44.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751548","1.3.43.2.1","34.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751554","1.3.43.3.1","21.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, persons with and without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751560","1.3.44.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, persons with and without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751566","1.3.44.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, persons with and without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751572","1.3.44.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons with a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751578","1.3.45.1.1","30.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons with a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751584","1.3.45.2.1","36.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons with a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751590","1.3.45.3.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751596","1.3.46.1.1","59.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751602","1.3.46.2.1","32.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Persons without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751608","1.3.46.3.1","8.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, LGBTQ2+ and non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751614","1.3.47.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, LGBTQ2+ and non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751620","1.3.47.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, LGBTQ2+ and non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751626","1.3.47.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751632","1.3.48.1.1","22.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751638","1.3.48.2.1","30.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751644","1.3.48.3.1","47.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751650","1.3.49.1.1","45.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751656","1.3.49.2.1","35.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751662","1.3.49.3.1","18.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, highest certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751668","1.3.50.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, highest certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751674","1.3.50.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, highest certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751680","1.3.50.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","No certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751686","1.3.51.1.1","48.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","No certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751692","1.3.51.2.1","27.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","No certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751698","1.3.51.3.1","23.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Secondary (high) school diploma or equivalency certificate","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751704","1.3.52.1.1","40.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Secondary (high) school diploma or equivalency certificate","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751710","1.3.52.2.1","34.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Secondary (high) school diploma or equivalency certificate","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751716","1.3.52.3.1","24.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Postsecondary certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751722","1.3.53.1.1","44.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Postsecondary certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751728","1.3.53.2.1","36.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Postsecondary certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751734","1.3.53.3.1","19.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by main activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751866","1.3.61.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by main activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751872","1.3.61.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, by main activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751878","1.3.61.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Working at a paid job or business","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751884","1.3.62.1.1","40.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Working at a paid job or business","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751890","1.3.62.2.1","36.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Working at a paid job or business","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751896","1.3.62.3.1","22.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Retired","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751902","1.3.63.1.1","59.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Retired","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751908","1.3.63.2.1","30.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Retired","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751914","1.3.63.3.1","10.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Other activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751920","1.3.64.1.1","38.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Other activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427751926","1.3.64.2.1","35.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Other activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427751932","1.3.64.3.1","26.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, urban and rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750786","1.3.1.1.1","44.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, urban and rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750792","1.3.1.2.1","34.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Total, urban and rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750798","1.3.1.3.1","21.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Urban areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750804","1.3.2.1.1","43.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Urban areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750810","1.3.2.2.1","34.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Urban areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750816","1.3.2.3.1","22.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750822","1.3.3.1.1","48.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750828","1.3.3.2.1","35.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Women","Rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750834","1.3.3.3.1","15.2","","","","1"


